id,name,name_ar,slug,sku,short_description,short_description_ar,description,description_ar,price,sale_price,cost_price,stock_quantity,min_stock_alert,weight,weight_unit,is_active,is_featured,is_digital,manage_stock,stock_status,meta_title,meta_description,meta_image,sort_order,created_at,updated_at,deleted_at
1072,Comfortable Silver Flats with Luxurious Touch,,comfortable-silver-flats-with-luxurious-touch-9U1jdJ,3185-013-2,Article : 3185-013-2,,"These comfortable silver flats offer a luxurious touch, blending comfort and style.",,109,,,54,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:29+04:00,2025-12-06 20:27:15+04:00,
1073,Comfortable Silver Flats with Luxurious Design,,comfortable-silver-flats-with-luxurious-design-EEww56,3314013-1,Article : 3314013-1,,Enjoy the perfect blend of comfort and luxury with these silver flats featuring elegant detailing for versatile wear.,,79,,,60,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:29+04:00,2025-12-06 20:27:15+04:00,
1074,3338-012,,3338-012-Q1n23P,3338-012,Article : 3338-012,,0,,49,,,13,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:29+04:00,2025-12-06 20:27:15+04:00,
1075,Comfortable flats with a luxurious design,,comfortable-flats-with-a-luxurious-design-oI6dI1,3341-012,Article : 3341-012,,0,,49,,,33,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:29+04:00,2025-12-06 20:27:15+04:00,
1076,Comfortable flats with a luxurious design,,comfortable-flats-with-a-luxurious-design-Ivqh1e,3344013-1,Article : 3344013-1,,0,,149,,,61,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:29+04:00,2025-12-06 20:27:15+04:00,
1077,Durable BoysÂ’ School Shoes,,durable-boysa-school-shoes-mDvNcR,B1003-10,Article : B1003-10,,Durable school shoes for boys designed for long-lasting comfort.,,29,,,4,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:29+04:00,2025-12-06 20:27:15+04:00,
1078,Flexible BoysÂ’ School Sneakers,,flexible-boysa-school-sneakers-2SZSii,B1004-10,Article : B1004-10,,Flexible and comfortable sneakers designed for school wear.,,29,,,9,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:29+04:00,2025-12-06 20:27:15+04:00,
1079,Soft BoysÂ’ Comfortable Shoes,,soft-boysa-comfortable-shoes-uwV8wk,B1009-10,Article : B1009-10,,Soft and comfortable shoes ideal for young boys.,,29,,,4,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:29+04:00,2025-12-06 20:27:15+04:00,
1080,Classic BoysÂ’ Formal Shoes,,classic-boysa-formal-shoes-4jHclh,B1025-01,Article : B1025-01,,"Classic formal shoes for boys, perfect for special occasions.",,29,,,1049,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:29+04:00,2025-12-06 20:27:15+04:00,
1081,Durable BoysÂ’ Outdoor Sneakers,,durable-boysa-outdoor-sneakers-nGJLS4,B1027-10,Article : B1027-10,,Durable sneakers built for outdoor activities and adventures.,,29,,,41,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:30+04:00,2025-12-06 20:27:15+04:00,
1082,Flexible BoysÂ’ Sport Sneakers,,flexible-boysa-sport-sneakers-E2K7dP,B1028-10,Article : B1028-10,,Flexible sport sneakers for active boys.,,29,,,67,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:30+04:00,2025-12-06 20:27:15+04:00,
1083,Durable BoysÂ’ Leather Sneakers,,durable-boysa-leather-sneakers-HU4xYM,B1029-10,Article : B1029-10,,Durable leather sneakers with classic style.,,29,,,147,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:30+04:00,2025-12-06 20:27:15+04:00,
1084,Stylish BoysÂ’ Casual Sneakers,,stylish-boysa-casual-sneakers-N2exam,B1031-10,Article : B1031-10,,Stylish sneakers perfect for casual wear and play.,,29,,,76,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:30+04:00,2025-12-06 20:27:15+04:00,
1085,Flexible BoysÂ’ School Sneakers,,flexible-boysa-school-sneakers-lBOdIm,B1036-10,Article : B1036-10,,Flexible and comfortable school sneakers for boys.,,29,,,100,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:30+04:00,2025-12-06 20:27:15+04:00,
1086,Elegant BoysÂ’ Brown Formal Shoes,,elegant-boysa-brown-formal-shoes-wVY1wm,B1038-10,Article : B1038-10,,Brown formal shoes for boys with elegant design and comfortable fit.,,29,,,155,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:30+04:00,2025-12-06 20:27:15+04:00,
1087,Trendy BoysÂ’ White Sport Shoes,,trendy-boysa-white-sport-shoes-Qt0DFr,B1039-10,Article : B1039-10,,White sport shoes for boys with trendy design and breathable materials.,,29,,,516,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:30+04:00,2025-12-06 20:27:15+04:00,
1088,Stylish BoysÂ’ Casual Shoes,,stylish-boysa-casual-shoes-9nFrcy,B1040-10,Article : B1040-10,,Stylish casual shoes perfect for everyday use.,,29,,,330,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:30+04:00,2025-12-06 20:27:15+04:00,
1089,Breathable BoysÂ’ Mesh Shoes,,breathable-boysa-mesh-shoes-XUVlyC,B1041-10,Article : B1041-10,,Breathable mesh shoes designed for comfort and ventilation.,,29,,,339,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:30+04:00,2025-12-06 20:27:15+04:00,
1090,Classic BoysÂ’ Formal Shoes,,classic-boysa-formal-shoes-9wOlhV,B1042-10,Article : B1042-10,,Classic formal shoes suitable for special occasions.,,29,,,286,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:30+04:00,2025-12-06 20:27:15+04:00,
1091,Comfortable BoysÂ’ Casual Sneakers,,comfortable-boysa-casual-sneakers-Bi6vI8,B1043-10,Article : B1043-10,,Comfortable sneakers perfect for casual daily wear.,,29,,,261,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:30+04:00,2025-12-06 20:27:15+04:00,
1092,Lightweight BoysÂ’ Running Sneakers,,lightweight-boysa-running-sneakers-Eb05g9,B1044-10,Article : B1044-10,,Lightweight and breathable running sneakers for boys.,,29,,,69,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:30+04:00,2025-12-06 20:27:15+04:00,
1093,Breathable BoysÂ’ Athletic Shoes,,breathable-boysa-athletic-shoes-KDRY74,B1045-10,Article : B1045-10,,Athletic shoes designed for breathability and comfort.,,29,,,212,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:30+04:00,2025-12-06 20:27:15+04:00,
1094,Comfortable BoysÂ’ School Shoes,,comfortable-boysa-school-shoes-Q1P1RI,B1046-10,Article : B1046-10,,Comfortable and durable school shoes for boys.,,29,,,18,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:30+04:00,2025-12-06 20:27:15+04:00,
1095,Lightweight BoysÂ’ Running Shoes,,lightweight-boysa-running-shoes-fo82L2,B1047-10,Article : B1047-10,,Lightweight running shoes designed for comfort and speed.,,29,,,204,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:30+04:00,2025-12-06 20:27:15+04:00,
1096,Breathable BoysÂ’ Athletic Sneakers,,breathable-boysa-athletic-sneakers-4Hzz6E,B1048-10,Article : B1048-10,,Breathable athletic sneakers designed for performance and comfort.,,29,,,211,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:31+04:00,2025-12-06 20:27:15+04:00,
1097,Lightweight BoysÂ’ Casual Sneakers,,lightweight-boysa-casual-sneakers-bu5a9i,B1049-10,Article : B1049-10,,"Casual sneakers for boys, lightweight and breathable for active play.",,29,,,356,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:31+04:00,2025-12-06 20:27:15+04:00,
1098,Breathable BoysÂ’ Sport Shoes,,breathable-boysa-sport-shoes-3765OB,B1050-10,Article : B1050-10,,Breathable sport shoes for boys offering comfort during active play.,,29,,,260,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:31+04:00,2025-12-06 20:27:15+04:00,
1099,Supportive BoysÂ’ Outdoor Shoes,,supportive-boysa-outdoor-shoes-CBKJb7,B1051-10,Article : B1051-10,,Durable outdoor shoes providing excellent foot support.,,29,,,393,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:31+04:00,2025-12-06 20:27:15+04:00,
1100,Durable BoysÂ’ Leather Shoes,,durable-boysa-leather-shoes-1pDl0I,B1052-10,Article : B1052-10,,Durable leather shoes for boys with classic style.,,29,,,309,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:31+04:00,2025-12-06 20:27:15+04:00,
1101,Breathable BoysÂ’ Running Shoes,,breathable-boysa-running-shoes-DSkHWp,B1053-10,Article : B1053-10,,Running shoes with breathable materials for active boys.,,29,,,181,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:31+04:00,2025-12-06 20:27:15+04:00,
1102,Supportive BoysÂ’ Sport Shoes,,supportive-boysa-sport-shoes-pittGg,B1054-10,Article : B1054-10,,Sport shoes providing great support and comfort.,,29,,,284,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:31+04:00,2025-12-06 20:27:15+04:00,
1103,Stylish BoysÂ’ Casual Shoes,,stylish-boysa-casual-shoes-EdxoWp,B1055-10,Article : B1055-10,,Stylish casual shoes ideal for school and outings.,,29,,,163,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:31+04:00,2025-12-06 20:27:15+04:00,
1104,Lightweight BoysÂ’ Casual Sneakers,,lightweight-boysa-casual-sneakers-Zd4Uxr,B1056-10,Article : B1056-10,,Lightweight casual sneakers perfect for daily wear.,,29,,,321,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:31+04:00,2025-12-06 20:27:15+04:00,
1105,Breathable BoysÂ’ Sport Shoes,,breathable-boysa-sport-shoes-d9hki0,B1057-10,Article : B1057-10,,Breathable sport shoes designed for active boys.,,29,,,38,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:31+04:00,2025-12-06 20:27:15+04:00,
1106,Durable BoysÂ’ Outdoor Shoes,,durable-boysa-outdoor-shoes-MlC5XU,B1058-10,Article : B1058-10,,Durable outdoor shoes built for rough terrain and activities.,,29,,,4,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:31+04:00,2025-12-06 20:27:15+04:00,
1107,Heeled sandal with an elegant and modern design,,heeled-sandal-with-an-elegant-and-modern-design-uePpWG,C1003-05,Article : C1003-05,,0,,49,,,141,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:31+04:00,2025-12-06 20:27:15+04:00,
1108,Heeled sandal with an elegant and modern design,,heeled-sandal-with-an-elegant-and-modern-design-SIWwWn,C1007-05,Article : C1007-05,,0,,49,,,10,5,,kg,1,0,0,1,in_stock,,,,0,2025-12-06 20:26:31+04:00,2025-12-06 20:27:15+04:00,
